date,symbol,high,low,close,volume
2014-01-02,WMT,79.47,78.5,78.91,6878000
2014-01-02,TSLA,152.4769,146.55,150.1,6188400
2014-01-02,GE,27.94,27.41,27.5,41453700
2014-01-02,F,15.45,15.28,15.44,31528500
2014-01-02,CNP,23.29,22.81,22.82,2980400
2014-01-03,WMT,79.13,78.52,78.65,4957400
2014-01-03,TSLA,152.19,148.601,149.56,4695000
2014-01-03,GE,27.6,27.41,27.48,27570800
2014-01-03,F,15.64,15.3,15.51,46122300
2014-01-03,CNP,23,22.7,22.81,3187900
2014-01-06,WMT,78.91,77.79,78.21,7280200
2014-01-06,TSLA,150.4,145.24,147,5361100
2014-01-06,GE,27.725,27.15,27.26,29356600
2014-01-06,F,15.76,15.52,15.58,42657600
2014-01-06,CNP,22.94,22.69,22.84,2697800
2014-01-07,WMT,78.85,77.92,78.45,5012300
2014-01-07,TSLA,150.4,145.25,149.36,5034100
2014-01-07,GE,27.49,27.21,27.29,24728000
2014-01-07,F,15.74,15.35,15.38,54476300
2014-01-07,CNP,23.2,22.81,23.08,2760300
2014-01-08,WMT,78.51,77.6,77.83,5955200
2014-01-08,TSLA,153.7,148.76,151.28,6163200
2014-01-08,GE,27.36,27.12,27.21,25868900
2014-01-08,F,15.71,15.51,15.54,48448300
2014-01-08,CNP,23.1,22.76,22.84,2521700
2014-01-09,WMT,78.4,77.49,78.09,5916300
2014-01-09,TSLA,153.43,146.85,147.53,5382000
2014-01-09,GE,27.36,26.93,27.22,31311400
2014-01-09,F,16.02,15.77,15.84,67836500
2014-01-09,CNP,23.11,22.71,23.1,3654400
2014-01-10,WMT,78.72,77.54,78.04,5181300
2014-01-10,TSLA,148.9,142.25,145.7199,7446100
2014-01-10,GE,27.23,26.86,26.96,38828600
2014-01-10,F,16.11,15.94,16.07,44984000
2014-01-10,CNP,23.68,23.22,23.38,5118800
2014-01-13,WMT,77.97,77.24,77.49,6157900
2014-01-13,TSLA,147,137.82,139.34,6316100
2014-01-13,GE,27.1,26.68,26.73,34419200
2014-01-13,F,16.53,16.08,16.11,57566400
2014-01-13,CNP,23.36,23,23.04,5265600
2014-01-14,WMT,78,77.38,77.96,4088200
2014-01-14,TSLA,162,136.671,161.27,27607000
2014-01-14,GE,27,26.74,26.97,24945900
2014-01-14,F,16.43,16.17,16.4,44039200
2014-01-14,CNP,23.28,23,23.23,3566000
2014-01-15,WMT,78.1,77.57,77.66,4992400
2014-01-15,TSLA,172.23,162.1,164.13,20465600
2014-01-15,GE,27.4,27.01,27.34,31863300
2014-01-15,F,16.73,16.35,16.7,64118200
2014-01-15,CNP,23.47,23.09,23.46,6575700
2014-01-16,WMT,77.47,76.35,76.76,7201500
2014-01-16,TSLA,172.7,162.4,170.97,11959400
2014-01-16,GE,27.27,27.075,27.2,32648300
2014-01-16,F,16.76,16.56,16.73,38410800
2014-01-16,CNP,23.62,23.26,23.56,5048000
2014-01-17,WMT,76.82,76.03,76.19,11440700
2014-01-17,TSLA,173.2,167.95,170.01,9206200
2014-01-17,GE,26.92,26.28,26.58,97240600
2014-01-17,F,16.78,16.45,16.52,37152100
2014-01-17,CNP,23.6,23.41,23.42,2868100
